date,reality,green1,green2,green3,blue1,blue2,blue3,med,min,max,error_min,error_med,error_max
2020-11-17,1607.6326530612246,1507.7142857142858,1507.7142857142858,1507.7142857142858,1507.7142857142858,1507.7142857142858,1507.7142857142858,1507.7142857142858,1507.7142857142858,1507.7142857142858,-3.3,-3.3,-3.3
2020-11-18,1530.8163265306123,1441.1428571428573,1441.1428571428573,1441.1428571428573,1441.1428571428573,1441.1428571428573,1441.1428571428573,1441.1428571428573,1441.1428571428573,1441.1428571428573,-3,-3,-3
2020-11-19,1454,1374.5714285714287,1374.5714285714287,1374.5714285714287,1374.5714285714287,1374.5714285714287,1374.5714285714287,1374.5714285714287,1374.5714285714287,1374.5714285714287,-2.6,-2.6,-2.6
2020-11-20,1403.530612244898,1342.5714285714287,1342.5714285714287,1342.5714285714287,1342.5714285714287,1342.5714285714287,1342.5714285714287,1342.5714285714287,1342.5714285714287,1342.5714285714287,-2,-2,-2
2020-11-21,1353.061224489796,1310.5714285714287,1310.5714285714287,1310.5714285714287,1310.5714285714287,1310.5714285714287,1310.5714285714287,1310.5714285714287,1310.5714285714287,1310.5714285714287,-1.4,-1.4,-1.4
2020-11-22,1302.591836734694,1278.5714285714287,1278.5714285714287,1278.5714285714287,1278.5714285714287,1278.5714285714287,1278.5714285714287,1278.5714285714287,1278.5714285714287,1278.5714285714287,-0.8,-0.8,-0.8
2020-11-23,1252.1224489795918,1246.5714285714287,1246.5714285714287,1246.5714285714287,1246.5714285714287,1246.5714285714287,1246.5714285714287,1246.5714285714287,1246.5714285714287,1246.5714285714287,-0.2,-0.2,-0.2
2020-11-24,1201.6530612244899,1214.5714285714287,1214.5714285714287,1214.5714285714287,1214.5714285714287,1214.5714285714287,1214.5714285714287,1214.5714285714287,1214.5714285714287,1214.5714285714287,0.4,0.4,0.4
2020-11-25,1151.183673469388,1182.5714285714287,1182.5714285714287,1182.5714285714287,1182.5714285714287,1182.5714285714287,1182.5714285714287,1182.5714285714287,1182.5714285714287,1182.5714285714287,1,1,1
2020-11-26,1100.7142857142858,1150.5714285714287,1150.5714285714287,1150.5714285714287,1150.5714285714287,1150.5714285714287,1150.5714285714287,1150.5714285714287,1150.5714285714287,1150.5714285714287,1.6,1.6,1.6
