date,reality,R_09,R_1,R_11,med,min,max,error_min,error_med,error_max
2020-12-18,972.8979591836735,982.8979591836735,982.8979591836735,982.8979591836735,982.8979591836735,982.8979591836735,982.8979591836735,0.3,0.3,0.3
2020-12-19,960.6530612244898,970.795918367347,970.795918367347,970.795918367347,970.795918367347,970.795918367347,970.795918367347,0.3,0.3,0.3
2020-12-20,948.4081632653061,958.6938775510205,958.6938775510205,958.6938775510205,958.6938775510205,958.6938775510205,958.6938775510205,0.3,0.3,0.3
2020-12-21,936.1632653061224,946.5918367346939,946.5918367346939,946.5918367346939,946.5918367346939,946.5918367346939,946.5918367346939,0.3,0.3,0.3
2020-12-22,923.9183673469388,934.4897959183673,934.4897959183673,934.4897959183673,934.4897959183673,934.4897959183673,934.4897959183673,0.3,0.3,0.3
2020-12-23,911.6734693877552,922.3877551020408,922.3877551020408,922.3877551020408,922.3877551020408,922.3877551020408,922.3877551020408,0.4,0.4,0.4
2020-12-24,899.4285714285714,910.2857142857143,910.2857142857143,910.2857142857143,910.2857142857143,910.2857142857143,910.2857142857143,0.4,0.4,0.4
2020-12-25,907.1020408163265,917.3265306122449,917.3265306122449,917.3265306122449,917.3265306122449,917.3265306122449,917.3265306122449,0.3,0.3,0.3
2020-12-26,914.7755102040817,924.3673469387755,924.3673469387755,924.3673469387755,924.3673469387755,924.3673469387755,924.3673469387755,0.3,0.3,0.3
2020-12-27,922.4489795918367,931.4081632653061,931.4081632653061,931.4081632653061,931.4081632653061,931.4081632653061,931.4081632653061,0.3,0.3,0.3
2020-12-28,930.1224489795918,938.4489795918367,938.4489795918367,938.4489795918367,938.4489795918367,938.4489795918367,938.4489795918367,0.3,0.3,0.3
2020-12-29,937.7959183673469,945.4897959183673,945.4897959183673,945.4897959183673,945.4897959183673,945.4897959183673,945.4897959183673,0.3,0.3,0.3
2020-12-30,945.469387755102,952.530612244898,952.530612244898,952.530612244898,952.530612244898,952.530612244898,952.530612244898,0.2,0.2,0.2
2020-12-31,953.1428571428571,959.5714285714286,959.5714285714286,959.5714285714286,959.5714285714286,959.5714285714286,959.5714285714286,0.2,0.2,0.2
2021-01-01,971.5102040816327,980.5714285714286,980.5714285714286,980.5714285714286,980.5714285714286,980.5714285714286,980.5714285714286,0.3,0.3,0.3
