date,green1,green2,green3,blue1,blue2,blue3,reality_report,reality
2021-01-01,1004.8163265306122,1004.8163265306122,1004.8163265306122,1004.8163265306122,1004.8163265306122,1004.8163265306122,1004.8163265306122,971.5102040816327
2021-01-02,1011.9183673469387,1011.9183673469387,1011.9183673469387,1011.9183673469387,1011.9183673469387,1011.9183673469387,1011.9183673469387,989.8775510204082
2021-01-03,1019.0204081632652,1019.0204081632652,1019.0204081632652,1019.0204081632652,1019.0204081632652,1019.0204081632652,1019.0204081632652,1008.2448979591837
2021-01-04,1026.1224489795918,1026.1224489795918,1026.1224489795918,1026.1224489795918,1026.1224489795918,1026.1224489795918,1026.1224489795918,1026.6122448979593
2021-01-05,1033.2244897959183,1033.2244897959183,1033.2244897959183,1033.2244897959183,1033.2244897959183,1033.2244897959183,1033.2244897959183,1044.9795918367347
2021-01-06,1040.3265306122448,1040.3265306122448,1040.3265306122448,1040.3265306122448,1040.3265306122448,1040.3265306122448,1040.3265306122448,1063.3469387755104
2021-01-07,1047.4285714285713,1047.4285714285713,1047.4285714285713,1047.4285714285713,1047.4285714285713,1047.4285714285713,1047.4285714285713,1081.7142857142858
2021-01-08,1054.5918367346937,1057.8571428571427,1059.4489795918366,1059.3673469387754,1059.204081632653,1060.6938775510203,NA,1101.7142857142858
2021-01-09,1061.7551020408164,1068.2857142857142,1071.469387755102,1071.3061224489795,1070.9795918367347,1073.9591836734694,NA,1121.7142857142858
2021-01-10,1068.9183673469388,1078.7142857142856,1083.4897959183672,1083.2448979591836,1082.7551020408164,1087.2244897959183,NA,1141.7142857142858
2021-01-11,1076.0816326530612,1089.142857142857,1095.5102040816328,1095.1836734693877,1094.5306122448978,1100.4897959183672,NA,1161.7142857142858
2021-01-12,1083.2448979591836,1099.5714285714284,1107.530612244898,1107.1224489795918,1106.3061224489795,1113.7551020408162,NA,1181.7142857142858
2021-01-13,1090.4081632653063,1110,1119.5510204081634,1119.061224489796,1118.0816326530612,1127.0204081632653,NA,1201.7142857142858
2021-01-14,1097.5714285714287,1120.4285714285713,1131.5714285714287,1131,1129.857142857143,1140.2857142857142,NA,1221.7142857142858
2021-01-15,1097.4081632653063,1125.5714285714284,1153.734693877551,1133,1135.387755102041,1165.4897959183672,NA,1239.857142857143
2021-01-16,1097.2448979591836,1130.7142857142856,1175.8979591836735,1135,1140.9183673469388,1190.6938775510205,NA,1258
2021-01-17,1097.0816326530612,1135.8571428571427,1198.061224489796,1137,1146.4489795918369,1215.8979591836735,NA,1276.142857142857
2021-01-18,1096.9183673469388,1141,1220.2244897959185,1139,1151.9795918367347,1241.1020408163265,NA,1294.2857142857144
2021-01-19,1096.7551020408164,1146.142857142857,1242.387755102041,1141,1157.5102040816328,1266.3061224489795,NA,1312.4285714285716
2021-01-20,1096.5918367346937,1151.2857142857142,1264.5510204081634,1143,1163.0408163265306,1291.5102040816328,NA,1330.5714285714287
2021-01-21,1096.4285714285713,1156.4285714285713,1286.7142857142858,1145,1168.5714285714287,1316.7142857142858,NA,1348.7142857142858
2021-01-22,1100.265306122449,1166.7755102040815,1320.5102040816328,1149.5714285714287,1181.2448979591838,1356.061224489796,NA,1346.0408163265306
2021-01-23,1104.1020408163265,1177.1224489795918,1354.3061224489795,1154.142857142857,1193.9183673469388,1395.4081632653063,NA,1343.3673469387757
2021-01-24,1107.938775510204,1187.469387755102,1388.1020408163265,1158.7142857142858,1206.591836734694,1434.7551020408164,NA,1340.6938775510205
2021-01-25,1111.7755102040815,1197.8163265306123,1421.8979591836735,1163.2857142857142,1219.265306122449,1474.1020408163265,NA,1338.0204081632653
2021-01-26,1115.612244897959,1208.1632653061224,1455.6938775510205,1167.857142857143,1231.938775510204,1513.4489795918366,NA,1335.3469387755101
2021-01-27,1119.4489795918366,1218.5102040816328,1489.4897959183672,1172.4285714285713,1244.612244897959,1552.795918367347,NA,1332.6734693877552
2021-01-28,1123.2857142857142,1228.857142857143,1523.2857142857142,1177,1257.2857142857142,1592.142857142857,NA,1330
2021-01-29,1128.2244897959183,1250.591836734694,1567.0408163265306,1184.5510204081634,1285.2244897959183,1649.3061224489795,NA,1329.6938775510205
2021-01-30,1133.1632653061224,1272.3265306122448,1610.795918367347,1192.1020408163265,1313.1632653061224,1706.469387755102,NA,1329.3877551020407
